Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
40089510,Soulbinder (Spellslinger #4),Sebastien de Castell,"Castell, Sebastien de",,"=""1471405451""","=""9781471405457""",0,4.24,Hot Key Books,Kindle Edition,405,2018,2018,2020/08/24,2020/08/24,,,read,,,,1,0
40196967,Charmcaster (Spellslinger #3),Sebastien de Castell,"Castell, Sebastien de",,"=""1471406717""","=""9781471406713""",0,4.22,Hot Key Books,Kindle Edition,335,2018,2018,2020/08/16,2020/08/16,,,read,,,,1,0
33787347,"Spellslinger (Spellslinger, #1)",Sebastien de Castell,"Castell, Sebastien de",,"=""""","=""""",0,4.02,Hot Key Books,Kindle Edition,323,2017,2017,2020/08/06,2020/06/25,,,read,,,,1,0
23654840,"Age of Empyre (The Legends of the First Empire, #6)",Michael J. Sullivan,"Sullivan, Michael J.",,"=""1943363226""","=""""",0,4.39,"Riyria Enterprises, LLC",Kindle Edition,395,2020,2020,2020/08/01,2020/08/01,,,read,,,,1,0
49338283,"Age of Death (The Legends of the First Empire, #5)",Michael J. Sullivan,"Sullivan, Michael J.",,"=""1943363218""","=""9781943363216""",0,4.28,Riyria Enterprises,ebook,341,2020,2020,2020/07/26,2020/07/19,,,read,,,,1,0
30558257,"Unsouled (Cradle, #1)",Will Wight,"Wight, Will",,"=""""","=""""",5,4.16,Hidden Gnome Publishing,Kindle Edition,294,2016,2016,2017/08/03,2018/01/04,,,read,,,,2,0
45433884,"Wraith Hunter (City of Crows, #3)",Clara Coulson,"Coulson, Clara",,"=""""","=""""",3,4.25,Knite and Day Publishing,Kindle Edition,357,2019,2017,2020/07/16,2020/07/19,,,read,,,,1,0
45433808,"Shade Chaser (City of Crows, #2)",Clara Coulson,"Coulson, Clara",,"=""""","=""""",3,4.19,Knite and Day Publishing,Kindle Edition,353,2019,2016,2020/07/08,2020/07/19,,,read,,,,1,0
45433380,"Soul Breaker (City of Crows, #1)",Clara Coulson,"Coulson, Clara",,"=""""","=""""",4,4.06,Knite and Day Publishing,Kindle Edition,345,2019,2015,2020/06/29,2020/06/25,,,read,,,,2,0
49370109,"Peace Talks (The Dresden Files, #16)",Jim Butcher,"Butcher, Jim",,"=""0399587071""","=""9780399587078""",4,4.22,Penguin,ebook,348,2020,2020,2020/07/19,2020/07/19,,,read,"Well, Dresden is back. It's been a few years, but Harry Dresden is still the same.<br/><br/>There's action, there are jokes that make you laugh out loud, there's Harry being so stubborn it hurts, and there are women who are all described as dripping with sex appeal. So if you've been with the series and liked the ride until now, don't worry, things are right where we left them.<br/><br/>A frustration <spoiler>is that this doesn't feel like a whole book. It feels like half a book. There is the whole arc of ""we learn of Harry's current situation"", ""shit hits the fan"", ""Harry gets in over his head"" and ""Harry has a show-down"". But we're left hanging <i>in between two action scenes</i> and more significantly,  the major triggering event of this book, Thomas getting captured, remains kind of unresolved. It's not the neat and fantastic package that was Skin Game, which set my expectations quite high.</spoiler><br/><br/>But it's the page-turner that I expected. I had fun.",,,1,0
25158914,The Red Sea (The Cycle of Galand #1),Edward W. Robertson,"Robertson, Edward W.",,"=""""","=""""",0,4.20,,Kindle Edition,488,2015,2015,,2020/06/27,to-read,to-read (#22),to-read,,,,0,0
4345290,"The Crown Conspiracy (The Riyria Revelations, #1)",Michael J. Sullivan,"Sullivan, Michael J.",,"=""0980003431""","=""9780980003437""",0,4.19,Aspirations Media Inc,Paperback,296,2008,2008,,2015/11/09,,,read,,,,1,0
39404436,"Son of a Liche (The Dark Profit Saga, #2)",J. Zachary Pike,"Pike, J. Zachary",Courtney Rae Andersson,"=""0990859657""","=""""",4,4.45,Gnomish Press LLC,Kindle Edition,606,2018,2018,2020/06/22,2020/01/03,,,read,,,,1,0
53241848,"Of Killers and Kings (The Elder Empire: Shadow, #3)",Will Wight,"Wight, Will",,"=""""","=""""",4,4.25,Hidden Gnome Publishing,Kindle Edition,393,2020,2020,2020/06/02,2020/05/23,,,read,,,,1,0
32507304,The Wolf of the North (Wolf of the North #1),Duncan M. Hamilton,"Hamilton, Duncan M.",,"=""""","=""""",0,4.12,,Kindle Edition,326,2016,2016,,2020/06/06,to-read,to-read (#21),to-read,,,,0,0
6881685,"Bitter Seeds (The Milkweed Triptych, #1)",Ian Tregillis,"Tregillis, Ian",,"=""0765321505""","=""9780765321503""",0,3.75,Tor Books,Hardcover,352,2010,2010,,2020/05/09,to-read,to-read (#20),to-read,,,,0,0
43543743,The Blacksmith's Son (Mageborn #1),Michael G. Manning,"Manning, Michael G.",,"=""""","=""""",2,3.91,Gwalchmai Press,Kindle Edition,274,2019,2011,2019/07/18,2019/06/23,gave-up-on,gave-up-on (#2),read,,,,1,0
41771517,"Limited Wish (Impossible Times, #2)",Mark  Lawrence,"Lawrence, Mark",,"=""147784838X""","=""9781477848388""",3,4.04,47North,Kindle Edition,222,2019,2019,2020/01/24,2020/01/03,,,read,,,,1,0
6620182,"The Sword of Shannara (Shannara, #1)",Terry Brooks,"Brooks, Terry",,"=""""","=""""",2,3.76,Del Rey,Kindle Edition,736,2000,1977,2019/09/15,2019/09/11,gave-up-on,gave-up-on (#1),read,,,,1,0
50789354,"Uncrowned (Cradle, #7)",Will Wight,"Wight, Will",,"=""""","=""""",4,4.57,Hidden Gnome Publishing,Kindle Edition,336,2019,2019,2019/10/08,2019/10/05,,,read,,,,1,0
39792427,"One Word Kill (Impossible Times, #1)",Mark  Lawrence,"Lawrence, Mark",,"=""1503958264""","=""9781503958265""",4,3.75,47North,Kindle Edition,201,2019,2019,2020/01/02,2020/01/02,,,read,,,,1,0
43255340,"The Killing Light (The Sacred Throne, #3)",Myke Cole,"Cole, Myke",,"=""""","=""""",5,4.01,Tor.com,Kindle Edition,256,2019,2019,2019/12/26,2019/12/25,,,read,,,,1,0
43936287,"Starsight (Skyward, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0399555838""","=""""",4,4.36,Delacorte Press,Kindle Edition,461,2019,2019,2019/12/25,2019/12/10,,,read,,,,1,0
39092483,"Mirror Gate (Harbinger, #2)",Jeff Wheeler,"Wheeler, Jeff",,"=""1503959724""","=""9781503959729""",3,4.38,47North,Kindle Edition,334,2018,2018,2019/12/10,2019/11/20,,,read,,,,1,0
